_id,app,career_growth,ceo_rating,cleansing_effect,consumer_reviews,flavor,followers,id,job_security,mem_rating,oral_health_impact,overall_benefits,results,review_content,review_date,review_time,review_tite,reviewer_country,reviewer_name,salary_and_benefits,status,url,value_for_money,views,work_environment
5c508125034cab234c648059,,,,4.0,colgate_total,4.0,868 Followers,https://www.mouthshut.com/review/Colgate-Total-Toothpaste-review-lulusptpor,,4.0,4.0,4.0,,Please Note : Check the ingredients and make sure the toothpaste addresses your particular needs.,Jan-01-2013,12:24:PM,Colgate Total Toothpaste - Total Protection,Bangalore India,maaz_nawaz,,1,https://www.mouthshut.com/review/Colgate-Total-Toothpaste-review-lulusptpor,,178 Reviews,
5c508126034cab234c64805a,,,,4.0,colgate_total,3.0,47 Followers,https://www.mouthshut.com/review/Colgate-Total-Toothpaste-review-tppnuprrrrn,,1.0,1.0,1.0,,The best toothpaste available in the Indian market is VICCO VAJRADANTI toothpaste. It is purely naturalistic and free of chemicals.,Sep-22-2018,11:35:PM,HARMFUL FOR TEETH AND HIGHLY CHEMICAL IN NATURE!,Nagpur India,sujish92,,1,https://www.mouthshut.com/review/Colgate-Total-Toothpaste-review-tppnuprrrrn,,73 Reviews,
5c508126034cab234c64805b, (via Android App),,,3.0,colgate_total,2.0,69 Followers,https://www.mouthshut.com/review/Colgate-Total-Toothpaste-review-tnuntorunln,,1.0,1.0,1.0,,We were using Colgate tooth paste from many years but now it's become too harsh to use for us.first my mother in law affected by it.she get cut whenever use twice a day.then my husband and other member also faced same kind issue .Colgate has big number of harsh chemical now I think they make it more concentrated now.because we are having oral soreness and some related issues.moreover Colgate is quite costly then other tooth paste.it means give money to waste first money and  then  health and keep going to dentist also,Jun-19-2017,11:42:PM,Not for all members of family,Gujarat India,faizashuja,,1,https://www.mouthshut.com/review/Colgate-Total-Toothpaste-review-tnuntorunln,,8 Reviews,
5c508126034cab234c64805c, (via Mobile),,,3.0,colgate_total,4.0,,https://www.mouthshut.com/review/Colgate-Total-Toothpaste-review-mllssqtrttm,,4.0,4.0,4.0,,FIGHTS BAD BREATH,May-01-2017,05:43:AM,Good product,India,rafeequeputhukkudi,,1,https://www.mouthshut.com/review/Colgate-Total-Toothpaste-review-mllssqtrttm,,1 Review,
5c508126034cab234c64805d,,,,5.0,colgate_total,5.0,17 Followers,https://www.mouthshut.com/review/Colgate-Total-Toothpaste-review-nntrmtlmttm,,5.0,5.0,5.0,,"Its about ""COLGATE TOTAL TOOTHPASTE""which is a total oral protection formula.Give your teeth protection from germs, bad oral smell, cavities and plaque etc.Colgate total calcium based toothpaste which protect your teeth enamel and give your teeth extra strength against oral diseases.It is a complete oral cleansing formula with sweet flavor.Reduce teeth sensitivity form hot & cold. Everyone like its taste specially children like it very much.Oral health put good impact on your over all body health and help you to fight against various diseases.It has 0% harmful chemicals so everyone can use it without any fear.I personally use it, infect my all family use it too.",Apr-28-2017,05:55:PM,Oral Protection,Hafizabad Pakistan,Silk9,,1,https://www.mouthshut.com/review/Colgate-Total-Toothpaste-review-nntrmtlmttm,,24 Reviews,
5c508126034cab234c64805e, (via Android App),,,4.0,colgate_total,4.0,46 Followers,https://www.mouthshut.com/review/Colgate-Total-Toothpaste-review-rtrtusmlttm,,4.0,4.0,4.0,,This toothpaste has never given me any issues.Always reliable and of the great quality.,Apr-28-2017,12:52:PM,Fresh and Clean,"Ludhiana,Punjab,India India",curtispaul,,1,https://www.mouthshut.com/review/Colgate-Total-Toothpaste-review-rtrtusmlttm,,65 Reviews,
5c508126034cab234c64805f, (via Android App),,,4.0,colgate_total,4.0,3 Followers,https://www.mouthshut.com/review/Colgate-Total-Toothpaste-review-uprqtlsstsm,,3.0,4.0,4.0,,"I and my family is using colgate for many years , it is added to daily habit , we use ot twise a day , I personaly experienced the cleansing effect of this product it's really good , it's flavor is cool and refteshing , it keep our mouth fresh and healthy all day long , my young brother had a gum problem and yellow teeth as he eats lots of sweet , this was a great problem  and colgate slowlly recovered both the problem , it provide a all round benefit to our teeth and it test really good , I experienced white and strong teeth after using this product and will like to advice other to use this product.",Mar-28-2017,05:31:PM,Colgate good toothpaste,Bally India,Krishnendu4321,,1,https://www.mouthshut.com/review/Colgate-Total-Toothpaste-review-uprqtlsstsm,,50 Reviews,
5c508126034cab234c648060, (via Android App),,,5.0,colgate_total,5.0,32 Followers,https://www.mouthshut.com/review/Colgate-Total-Toothpaste-review-ttuttuluqrm,,4.0,4.0,4.0,,Thank you,Feb-10-2017,04:21:PM,Best product,Virar India,kumarashish312,,1,https://www.mouthshut.com/review/Colgate-Total-Toothpaste-review-ttuttuluqrm,,82 Reviews,
5c508126034cab234c648061, (via iOS App),,,2.0,colgate_total,2.0,137 Followers,https://www.mouthshut.com/review/Colgate-Total-Toothpaste-review-uursprtmqrm,,1.0,1.0,2.0,,Hello everyone. I want to share my trye experience with you all that using colgate toothpaste can make your teeth unhealthy. I have been using this   toothpaste since I was a kid. But after growing up I realised that I have been using wrong toothpaste from childhood. Now my teeths became so weak and unhealty. My gums bleeds very badly. so I changed my toothpaste before 3 months and I got effective change in my teeth. Now I m using patanjali dantakranti toothpaste. and that toothpaste is really amazing. My all teeth problems got solve. From true experience I m telling you not to use colgate toothpaste. Thank you.,Feb-08-2017,05:04:PM,Waste Of Money:(,Mumbai India,Pratikshaniven3109,,1,https://www.mouthshut.com/review/Colgate-Total-Toothpaste-review-uursprtmqrm,,178 Reviews,
5c508126034cab234c648062,,,,5.0,colgate_total,4.0,,https://www.mouthshut.com/review/Colgate-Total-Toothpaste-review-rnqplsltprm,,5.0,4.0,4.0,,"Colgate tooth paste is the best toothpaste I have used. I have been brushing my teeth with this since my childhood and still using this happily. During these years I tried many toothpastes but non of them could satisfy me more, finally I came back to colgate.  All types of pastes are working good, very helpful to clean your teeth, flavor is enjoyable, if you use it before going to bed in night it would really help your teeth to get stronger and  in morning you will feel freshness in your breath. I recommend all of you try this and get your teeth white and stronger.",Feb-07-2017,05:06:PM,Best toothpaste,,,,1,https://www.mouthshut.com/review/Colgate-Total-Toothpaste-review-rnqplsltprm,,19 Reviews,
