,Avg_faren,Avg_faren-1,Class,FlightNo,FlownWeek,FlownYear,POS,Route,var_yld,yield_FCT,yieldn,yieldn-1
0,1704.5,,PremiumEconomy,RX0716,23,2018,CCU,CGP-DAC,,1704.5,1704.5,
0,1941.0,2200.0,Economy,RX0716,23,2018,CCU,CGP-DAC,0.8822727272727273,1712.4913636363638,1941.0,2200.0
0,2003.0,3861.0,Economy,RX0716,25,2018,CCU,CGP-DAC,0.5187775187775188,1039.11137011137,2003.0,3861.0
0,2164.0,2222.0,Economy,RX0716,29,2018,CCU,CGP-DAC,0.9738973897389739,2107.5139513951394,2164.0,2222.0
0,2001.0,,Economy,RX0716,30,2018,CCU,CGP-DAC,,2001.0,2001.0,
0,,2222.0,Economy,RX0716,31,2018,CCU,CGP-DAC,,2222.0,,2222.0
0,,2222.0,Economy,RX0716,34,2018,CCU,CGP-DAC,,2222.0,,2222.0
0,,2222.0,Economy,RX0716,35,2018,CCU,CGP-DAC,,2222.0,,2222.0
0,,2131.0,Economy,RX0716,37,2018,CCU,CGP-DAC,,2131.0,,2131.0
0,,2131.0,Economy,RX0716,38,2018,CCU,CGP-DAC,,2131.0,,2131.0
0,8271.0,,Business,RX0716,23,2018,CGP,CGP-DAC,,8271.0,8271.0,
0,8171.0,,Business,RX0716,24,2018,CGP,CGP-DAC,,8171.0,8171.0,
0,8171.0,,Business,RX0716,25,2018,CGP,CGP-DAC,,8171.0,8171.0,
0,8171.0,,Business,RX0716,29,2018,CGP,CGP-DAC,,8171.0,8171.0,
0,8171.0,,Business,RX0716,30,2018,CGP,CGP-DAC,,8171.0,8171.0,
0,6971.0,,Business,RX0716,33,2018,CGP,CGP-DAC,,6971.0,6971.0,
0,8171.0,,Business,RX0716,34,2018,CGP,CGP-DAC,,8171.0,8171.0,
0,8171.0,,Business,RX0716,35,2018,CGP,CGP-DAC,,8171.0,8171.0,
0,8171.0,,Business,RX0716,36,2018,CGP,CGP-DAC,,8171.0,8171.0,
0,,6471.0,Business,RX0716,39,2018,CGP,CGP-DAC,,6471.0,,6471.0
0,,7271.0,Business,RX0716,40,2018,CGP,CGP-DAC,,7271.0,,7271.0
0,,7271.0,Business,RX0716,41,2018,CGP,CGP-DAC,,7271.0,,7271.0
0,,7271.0,Business,RX0716,42,2018,CGP,CGP-DAC,,7271.0,,7271.0
0,,7271.0,Business,RX0716,44,2018,CGP,CGP-DAC,,7271.0,,7271.0
0,,7271.0,Business,RX0716,45,2018,CGP,CGP-DAC,,7271.0,,7271.0
0,,6665.333333333333,Business,RX0716,46,2018,CGP,CGP-DAC,,6665.333333333333,,6665.333333333333
0,2166.2380952380954,,PremiumEconomy,RX0716,23,2018,CGP,CGP-DAC,,2166.2380952380954,2166.2380952380954,
0,2171.0,,PremiumEconomy,RX0716,24,2018,CGP,CGP-DAC,,2171.0,2171.0,
0,2125.8333333333335,,PremiumEconomy,RX0716,25,2018,CGP,CGP-DAC,,2125.8333333333335,2125.8333333333335,
0,2071.2,,PremiumEconomy,RX0716,26,2018,CGP,CGP-DAC,,2071.2,2071.2,
0,2114.9310344827586,,PremiumEconomy,RX0716,27,2018,CGP,CGP-DAC,,2114.9310344827586,2114.9310344827586,
0,2155.75,,PremiumEconomy,RX0716,28,2018,CGP,CGP-DAC,,2155.75,2155.75,
0,2171.0,,PremiumEconomy,RX0716,29,2018,CGP,CGP-DAC,,2171.0,2171.0,
0,2163.5925925925926,,PremiumEconomy,RX0716,30,2018,CGP,CGP-DAC,,2163.5925925925926,2163.5925925925926,
0,2104.523076923077,,PremiumEconomy,RX0716,31,2018,CGP,CGP-DAC,,2104.523076923077,2104.523076923077,
0,2126.898305084746,,PremiumEconomy,RX0716,32,2018,CGP,CGP-DAC,,2126.898305084746,2126.898305084746,
0,2148.4166666666665,,PremiumEconomy,RX0716,33,2018,CGP,CGP-DAC,,2148.4166666666665,2148.4166666666665,
0,2040.3863636363637,,PremiumEconomy,RX0716,34,2018,CGP,CGP-DAC,,2040.3863636363637,2040.3863636363637,
0,2046.0652173913043,2171.0,PremiumEconomy,RX0716,35,2018,CGP,CGP-DAC,0.9424528868684037,1928.3200708514626,2046.0652173913043,2171.0
0,2044.2,2000.8620689655172,PremiumEconomy,RX0716,36,2018,CGP,CGP-DAC,1.021659629470056,2088.4766145626886,2044.2,2000.8620689655172
0,2171.0,2134.866666666667,PremiumEconomy,RX0716,37,2018,CGP,CGP-DAC,1.0169253349155294,2207.744902101614,2171.0,2134.866666666667
0,,2153.516129032258,PremiumEconomy,RX0716,38,2018,CGP,CGP-DAC,,2153.516129032258,,2153.516129032258
0,,2132.964912280702,PremiumEconomy,RX0716,39,2018,CGP,CGP-DAC,,2132.964912280702,,2132.964912280702
0,2171.0,2090.516129032258,PremiumEconomy,RX0716,40,2018,CGP,CGP-DAC,1.03849952164923,2254.5824615004785,2171.0,2090.516129032258
0,,2142.4736842105262,PremiumEconomy,RX0716,41,2018,CGP,CGP-DAC,,2142.4736842105262,,2142.4736842105262
0,,2114.759259259259,PremiumEconomy,RX0716,42,2018,CGP,CGP-DAC,,2114.759259259259,,2114.759259259259
0,,2171.0,PremiumEconomy,RX0716,43,2018,CGP,CGP-DAC,,2171.0,,2171.0
0,,2154.449275362319,PremiumEconomy,RX0716,44,2018,CGP,CGP-DAC,,2154.449275362319,,2154.449275362319
0,,2119.6052631578946,PremiumEconomy,RX0716,45,2018,CGP,CGP-DAC,,2119.6052631578946,,2119.6052631578946
0,,2159.938775510204,PremiumEconomy,RX0716,46,2018,CGP,CGP-DAC,,2159.938775510204,,2159.938775510204
0,2175.7368421052633,2611.125,Economy,RX0716,23,2018,CGP,CGP-DAC,0.8332564860377283,1812.9468355954555,2175.7368421052633,2611.125
