Trade Category,Site_Code,Trading Density
Retail,MCC,1178.810696
Retail,MCC,1218.27859
Retail,MCC,2817.32643
Retail,MCC,2447.40871
Retail,MCC,820.3389024
Retail,MCC,662.4074870000002
Retail,MCC,1540.857126
Food & Beverage,MCC,5758.83234
Retail,MCC,874.5350275000002
Retail,MCC,716.2184223999999
Food & Beverage,MCC,4377.003358
Retail,MCC,1269.660168
Retail,MCC,1541.079302
Retail,MCC,1714.5685649999998
Retail,MCC,1639.3642220000004
Retail,MCC,977.0459623
Retail,MCC,2642.413092
Retail,MCC,5640.086786
Food & Beverage,MCC,1937.448478
Retail,MCC,5642.583711
Retail,MCC,8691.822222
Retail,MCC,2776.044181
Food & Beverage,MCC,1487.034121
Retail,MCC,947.4324306
Food & Beverage,MCC,1257.32087
Retail,MCC,3786.862292
Retail,MCC,1181.599673
Food & Beverage,MCC,620.0753901
Retail,MCC,2397.614443
Retail,MCC,1675.312521
Retail,MCC,864.8533474
Food & Beverage,MCC,2287.352205
Food & Beverage,MCC,2669.3738
Retail,MCC,618.2001916
Retail,MCC,1049.307087
Food & Beverage,MCC,2479.874578
Retail,MCC,5191.112228
Retail,MCC,3633.932929
Retail,MCC,1414.871699
Retail,MCC,1335.454328
Food & Beverage,MCC,4142.1251630000015
Food & Beverage,MCC,1169.463598
Retail,MCC,1939.031927
Retail,MCC,1045.319614
Retail,MCC,6015.56375
Retail,MCC,714.5966708999998
Retail,MCC,2675.910757
Retail,MCC,280.8424923
Retail,MCC,4359.03
Retail,MCC,192.41451830000003
Food & Beverage,MCC,4091.305498
Retail,MCC,1643.947157
Retail,MCC,531.0310933000002
Retail,MCC,348.354149
Food & Beverage,MCC,1557.192214
Retail,MCC,2656.207133
Retail,MCC,896.6001487999998
Retail,MCC,6576.397389
Retail,MCC,6016.847017
Retail,MCC,1246.02596
Retail,MCC,2362.280688
Retail,MCC,371.7799
Retail,MCC,1911.033839
Retail,MCC,668.6296985
Retail,MCC,8437.102481999998
Retail,MCC,2901.1344010000007
Food & Beverage,MCC,1016.445971
Retail,MCC,1931.379361
Retail,MCC,1685.4596370000004
Retail,MCC,1313.67205
Retail,MCC,518.3334
Retail,MCC,436.360407
Retail,MCC,250.6461505
Retail,MCC,7241.578093000001
Retail,MCC,1454.495043
Food & Beverage,MCC,1223.703337
Food & Beverage,MCC,1080.868169
Retail,MCC,1043.389197
Retail,MCC,1832.796828
Food & Beverage,MCC,2431.083898
Food & Beverage,MCC,4332.195244
Retail,MCC,106.6088117
Retail,MCC,1443.121182
Food & Beverage,MCC,1751.915202
Food & Beverage,MCC,1506.452079
Retail,MCC,1400.824825
Retail,MCC,760.29743
Retail,MCC,702.7806464
Retail,MCC,6173.351837
Retail,MCC,5381.780939
Retail,MCC,8174.98061
Retail,MCC,2257.30781
Retail,MCC,1029.508932
Retail,MCC,499.79282469999987
Retail,MCC,5998.44958
Retail,MCC,47.53601550000001
Retail,MCC,10322.75701
Food & Beverage,MCC,654.487104
Retail,MCC,1640.434532
Retail,MCC,813.4033423999998
Retail,MCC,1756.234104
Retail,MCC,3298.824161
Retail,MCC,2417.028614
Retail,MCC,865.079125
Retail,MCC,1517.859056
Retail,MCC,590.6089041
Retail,MCC,1571.973082
Retail,MCC,680.9613174
Retail,MCC,779.4413822
Retail,MCC,911.3575472
Retail,MCC,769.1243867000002
Retail,MCC,2549.841096
Retail,MCC,1846.739886
Retail,MCC,254.5535036
Retail,MCC,3818.501407
Retail,MCC,941.1748517
Retail,MCC,1048.556632
Food & Beverage,MCC,747.7756371
Retail,MCC,13386.49764
Retail,MCC,195.5099836
Retail,MCC,1033.855862
Food & Beverage,MCC,846.4982069
Retail,MCC,8540.801589
Food & Beverage,MCC,782.0483072000002
Retail,MCC,2466.302907
Retail,MCC,884.7138627
Retail,MCC,917.9477178
Retail,MCC,1013.517015
Retail,MCC,691.5591923999998
Retail,MCC,24180.68343
Food & Beverage,MCC,3343.882264
Retail,MCC,510.6544418
Retail,MCC,1822.059088
Retail,MCC,1086.520956
Retail,MCC,1369.403338
Retail,MCC,4536.855514
Retail,MCC,1262.252868
Retail,MCC,2188.638693
Retail,MCC,531.1966666999998
Food & Beverage,MCC,1510.037153
Food & Beverage,MCC,33575.27171
Food & Beverage,MCC,6724.522303
Retail,MCC,4047.831017
Retail,MCC,2607.554288
Retail,MCC,2315.712760000001
Retail,MCC,243.8068667
Retail,MCC,2647.224632
Retail,MCC,1606.241823
